Year,Avg. Pace,Player,Team,Team Conference Rank,GP,Team GP,W,PTS,REB,AST,STL,BLK,TOV,TS%,3PM,DEFWS,USG%,PIE,Prior ASG Appearances,AS Last Year
2020,99.5,Hassan Whiteside,SAC,13,23,32,12,8.3,5.7,0.5,0.3,1.3,1,0.586,0,0.3,23.6,12.6,0,0
2020,99.5,Ignas Brazdeikis,NYK,6,4,33,16,0.5,0.5,0.3,0,0,0.3,0.532,0,0,18.1,10,0,0
2020,99.5,Iman Shumpert,BRK,2,1,34,22,2,1,0,0,0,0,0.5,0,0,14.5,-1.1,0,0
2020,99.5,Immanuel Quickley,NYK,6,29,33,16,12.2,2.2,2.5,0.4,0.3,0.9,0.558,1.7,0.6,27.7,12.5,0,0
2020,99.5,Isaac Bonga,WAS,12,19,30,12,2.3,2.2,0.6,0.3,0.2,0.4,0.546,0.5,0.1,8.3,3.7,0,0
2020,99.5,Isaac Okoro,CLE,14,28,33,12,8,2.6,1.8,1.1,0.5,1.5,0.494,0.9,0.4,12.4,3.2,0,0
2020,99.5,Isaiah Hartenstein,DEN,8,22,32,17,4,2.9,0.5,0.5,0.6,0.8,0.543,0,0.3,21.3,7,0,0
2020,99.5,Isaiah Joe,PHI,1,20,33,22,4.3,1.2,0.8,0.4,0.2,0.3,0.53,1.2,0.2,15.2,5.8,0,0
2020,99.5,Isaiah Roby,OKC,12,26,32,13,8.4,5.2,1.6,0.7,0.6,1.1,0.618,0.6,0.8,16.9,9.9,0,0
2020,99.5,Isaiah Stewart,DET,15,30,32,9,5.3,5.5,0.6,0.5,1,0.8,0.556,0,0.7,13.6,8.7,0,0
2020,99.5,Ish Smith,WAS,12,19,30,12,5.2,3.5,4.7,0.8,0.2,1,0.404,0.3,0.3,15,9.4,0,0
2020,99.5,Ivica Zubac,LAC,2,34,34,23,8.4,6.9,1.1,0.4,0.8,1,0.725,0,0.9,15.1,12.6,0,0
2020,99.5,J.J. Redick,NOP,11,29,32,14,8,1.7,1.3,0.3,0.1,0.8,0.554,1.6,0,18.7,6.7,0,0
2020,99.5,Ja Morant,MEM,9,20,28,14,19,3.2,7.9,0.9,0.2,2.9,0.534,0.7,0.4,28.9,12.3,0,0
2020,99.5,Jabari Parker,SAC,13,2,32,12,4,3,0.5,0,0.5,1.5,0.571,0,0,17,4.2,0,0
2020,99.5,Jaden McDaniels,MIN,15,27,33,7,5.3,3.4,1,0.3,1.1,0.8,0.496,1,0.4,13.6,4.5,0,0
2020,99.5,Jae Crowder,PHO,4,28,31,20,10.4,5,2.1,0.9,0.3,0.8,0.558,2.4,1,16.5,8.8,0,0
2020,99.5,Jae'Sean Tate,HOU,14,30,30,11,9.9,5.2,1.8,0.9,0.6,1.2,0.606,0.7,1,14.4,8.3,0,0
2020,99.5,Jahlil Okafor,DET,15,12,32,9,4.3,2.3,0.3,0.2,0.2,0.3,0.595,0,0.1,16.9,10,0,0
2020,99.5,Jahmi'us Ramsey,SAC,13,4,32,12,1.3,1,0.3,0,0.3,0.3,0.625,0.3,0,13.3,9,0,0
2020,99.5,JaKarr Sampson,IND,4,13,30,15,2.3,2,0,0.1,0.2,0.2,0.51,0,0.1,18,8.8,0,0
2020,99.5,Jake Layman,MIN,15,22,33,7,5.9,1.5,0.5,0.8,0.5,0.6,0.586,0.6,0.3,16.5,8.3,0,0
2020,99.5,Jakob Poeltl,SAS,6,28,28,16,6.4,7.1,1.8,0.6,1.5,1.1,0.574,0,1,12.6,9.9,0,0
2020,99.5,Jalen Brunson,DAL,10,27,31,15,12.3,3.3,3.4,0.4,0,1.3,0.647,1.3,0.3,19.4,13,0,0
2020,99.5,Jalen Harris,TOR,5,2,33,16,0,0.5,0,0,0,0.5,0,0,0,10.8,-10.4,0,0
2020,99.5,Jalen Lecque,IND,4,3,30,15,1.7,1.3,0.7,0,0,0,0.47,0,0,25.6,33.3,0,0
2020,99.5,Jalen McDaniels,CHO,8,13,31,15,4.8,2.8,0.5,0.2,0.1,0.9,0.56,0.4,0.1,17.2,4.7,0,0
2020,99.5,Jalen Smith,PHO,4,8,31,20,1.8,1.3,0.3,0,0.3,0.1,0.391,0.3,0,16.9,2.6,0,0
2020,99.5,Jamal Murray,DEN,8,30,32,17,21.4,4.4,4.6,1.2,0.3,2.3,0.588,2.7,0.7,25.3,12,0,0
2020,99.5,James Ennis,ORL,13,24,33,13,7.3,3.9,1.3,0.8,0.3,0.9,0.628,0.9,0.6,13.3,7.5,0,0
2020,99.5,James Johnson,DAL,10,25,31,15,6.3,3.2,1.7,0.9,0.8,1,0.539,0.6,0.6,16.2,7.8,0,0
2020,99.5,James Wiseman,GSW,7,22,33,18,12.2,5.9,0.7,0.4,1.2,1.5,0.559,0.5,0.8,25.6,10,0,0
2020,99.5,JaMychal Green,DEN,8,25,32,17,9.1,6,1,0.6,0.3,1,0.587,1.6,0.5,18.8,9.8,0,0
2020,99.5,Jared Dudley,LAL,3,8,33,22,0.8,1.3,0.4,0,0,0.1,1,0.3,0,4.5,5.2,0,0
2020,99.5,Jared Harper,NYK,6,2,33,16,1,0,0,0,0,1,0.532,0,0,34.1,-4.2,0,0
2020,99.5,Jarred Vanderbilt,MIN,15,31,33,7,6,5.7,1.6,1.1,0.6,0.9,0.617,0,0.8,12.8,10.9,0,0
2020,99.5,Jarrell Brantley,UTA,1,9,32,26,1.2,0.8,0,0.1,0.1,0.1,0.55,0.3,0.1,17.5,8.2,0,0
2020,99.5,Jarrett Allen,BRK,2,12,34,22,11.2,10.4,1.7,0.6,1.6,1.8,0.73,0,0.4,15.4,15.5,0,0
2020,99.5,Jarrett Culver,MIN,15,16,33,7,8.1,5,0.9,0.7,0.4,1.3,0.518,0.5,0.3,18.2,6.7,0,0
2020,99.5,JaVale McGee,CLE,14,24,33,12,7.4,5.2,1,0.5,1.1,1.3,0.508,0.2,0.5,24.5,11.1,0,0
2020,99.5,Javonte Green,BOS,9,20,32,15,4.8,2.4,0.4,0.9,0.1,0.6,0.611,0.4,0.3,13.1,7.5,0,0
2020,99.5,Jaxson Hayes,NOP,11,23,32,14,4.1,3.5,0.4,0.3,0.3,0.7,0.675,0,0.2,13.2,8.2,0,0
2020,99.5,Jaylen Adams,MIL,3,7,33,20,0.3,0.4,0.3,0,0,0,0.125,0,0,18.6,-1.7,0,0
2020,99.5,Jaylen Brown,BOS,9,30,32,15,25.4,5.5,3.9,1.2,0.5,2.8,0.592,2.4,0.9,30.9,13.8,0,0
2020,99.5,Jaylen Nowell,MIN,15,19,33,7,8.9,1.7,0.8,0.4,0.2,0.5,0.542,1.1,0.1,23.7,8.3,0,0
2020,99.5,Jeff Green,BRK,2,32,34,22,9.4,3.6,1.4,0.7,0.3,0.8,0.64,1.5,0.5,13.4,7.2,0,0
